onset	duration	trial_type	value	sample
11.432	4.0	right_slow_near	12	5716
18.424	4.0	down_slow_near	4	9212
27.066	4.0	down_slow_far	3	13533
36.042	4.0	right_slow_far	11	18021
46.968	4.0	left_slow_far	7	23484
55.978	4.0	up_slow_far	15	27989
67.906	4.0	up_slow_far	15	33953
77.882	4.0	left_slow_far	7	38941
89.194	4.0	left_slow_near	8	44597
96.25	4.0	up_slow_near	16	48125
105.092	4.0	right_fast_near	10	52546
110.448	4.0	down_fast_near	2	55224
118.522	4.0	right_fast_far	9	59261
125.546	4.0	down_fast_far	1	62773
133.87	4.0	up_fast_near	14	66935
139.628	4.0	left_fast_near	6	69814
147.368	4.0	left_fast_near	6	73684
153.206	4.0	up_fast_near	14	76603
160.614	4.0	down_fast_near	2	80307
166.704	4.0	right_fast_near	10	83352
174.21	4.0	up_slow_near	16	87105
181.552	4.0	left_slow_near	8	90776
191.362	4.0	down_fast_far	1	95681
198.218	4.0	right_fast_far	9	99109
206.742	4.0	up_fast_far	13	103371
213.416	4.0	left_fast_far	5	106708
221.658	4.0	down_slow_near	4	110829
229.216	4.0	right_slow_near	12	114608
239.024	4.0	left_fast_far	5	119512
245.548	4.0	up_fast_far	13	122774
253.872	4.0	right_slow_far	11	126936
262.898	4.0	down_slow_far	3	131449
349.152	4.0	right_slow_near	12	174576
355.89	4.0	down_slow_near	4	177945
365.184	4.0	down_slow_far	3	182592
373.976	4.0	right_slow_far	11	186988
384.668	4.0	left_slow_far	7	192334
393.928	4.0	up_slow_far	15	196964
404.706	4.0	up_slow_far	15	202353
414.198	4.0	left_slow_far	7	207099
425.126	4.0	left_slow_near	8	212563
432.316	4.0	up_slow_near	16	216158
441.258	4.0	right_fast_near	10	220629
446.814	4.0	down_fast_near	2	223407
454.588	4.0	right_fast_far	9	227294
461.328	4.0	down_fast_far	1	230664
469.804	4.0	up_fast_near	14	234902
475.61	4.0	left_fast_near	6	237805
483.266	4.0	left_fast_near	6	241633
488.122	4.0	up_fast_near	14	244061
495.812	4.0	down_fast_near	2	247906
501.234	4.0	right_fast_near	10	250617
508.242	4.0	up_slow_near	16	254121
516.032	4.0	left_slow_near	8	258016
525.558	4.0	down_fast_far	1	262779
531.75	4.0	right_fast_far	9	265875
541.024	4.0	up_fast_far	13	270512
547.548	4.0	left_fast_far	5	273774
555.772	4.0	down_slow_near	4	277886
562.88	4.0	right_slow_near	12	281440
572.222	4.0	left_fast_far	5	286111
579.028	4.0	up_fast_far	13	289514
587.102	4.0	right_slow_far	11	293551
596.862	4.0	down_slow_far	3	298431
615.882	4.0	right_slow_near	12	307941
622.788	4.0	down_slow_near	4	311394
631.614	4.0	down_slow_far	3	315807
640.238	4.0	right_slow_far	11	320119
651.918	4.0	left_slow_far	7	325959
661.46	4.0	up_slow_far	15	330730
673.188	4.0	up_slow_far	15	336594
683.632	4.0	left_slow_far	7	341816
695.21	4.0	left_slow_near	8	347605
702.6	4.0	up_slow_near	16	351300
712.744	4.0	right_fast_near	10	356372
718.15	4.0	down_fast_near	2	359075
725.122	4.0	right_fast_far	9	362561
732.28	4.0	down_fast_far	1	366140
740.554	4.0	up_fast_near	14	370277
746.36	4.0	left_fast_near	6	373180
754.084	4.0	left_fast_near	6	377042
759.858	4.0	up_fast_near	14	379929
767.714	4.0	down_fast_near	2	383857
773.52	4.0	right_fast_near	10	386760
781.478	4.0	up_slow_near	16	390739
788.568	4.0	left_slow_near	8	394284
798.396	4.0	down_fast_far	1	399198
804.902	4.0	right_fast_far	9	402451
813.46	4.0	up_fast_far	13	406730
820.65	4.0	left_fast_far	5	410325
